Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,,,,,
595,0.003261005,,,,,,,,,,,,,,,,,,,,,,
594,0.003694271,,,,,,,,,,,,,,,,,,,,,,
593,0.003220008,,,,,,,,,,,,,,,,,,,,,,
592,0.003242488,,,,,,,,,,,,,,,,,,,,,,
591,0.002941082,,,,,,,,,,,,,,,,,,,,,,
590,0.00273915,,,,,,,,,,,,,,,,,,,,,,
589,0.003075348,,,,,,,,,,,,,,,,,,,,,,
588,0.002616993,,,,,,,,,,,,,,,,,,,,,,
587,0.003187254,,,,,,,,,,,,,,,,,,,,,,
586,0.002867854,,,,,,,,,,,,,,,,,,,,,,
585,0.003051181,,,,,,,,,,,,,,,,,,,,,,
584,0.002485629,,,,,,,,,,,,,,,,,,,,,,
583,0.002626265,,,,,,,,,,,,,,,,,,,,,,
582,0.002513149,,,,,,,,,,,,,,,,,,,,,,
581,0.002612462,,,,,,,,,,,,,,,,,,,,,,
580,0.002679995,,,,,,,,,,,,,,,,,,,,,,
579,0.002122157,,,,,,,,,,,,,,,,,,,,,,
578,0.002321304,,,,,,,,,,,,,,,,,,,,,,
577,0.002393138,,,,,,,,,,,,,,,,,,,,,,
576,0.001812117,,,,,,,,,,,,,,,,,,,,,,
575,0.00261642,,,,,,,,,,,,,,,,,,,,,,
574,0.002415316,,,,,,,,,,,,,,,,,,,,,,
573,0.002024048,,,,,,,,,,,,,,,,,,,,,,
572,0.001818096,,,,,,,,,,,,,,,,,,,,,,
571,0.002034919,,,,,,,,,,,,,,,,,,,,,,
570,0.001607201,,,,,,,,,,,,,,,,,,,,,,
569,0.001478662,,,,,,,,,,,,,,,,,,,,,,
568,0.001485623,,,,,,,,,,,,,,,,,,,,,,
567,0.00135177,,,,,,,,,,,,,,,,,,,,,,
566,0.001207316,,,,,,,,,,,,,,,,,,,,,,
565,0.001389995,,,,,,,,,,,,,,,,,,,,,,
564,0.001171339,,,,,,,,,,,,,,,,,,,,,,
563,0.001091454,,,,,,,,,,,,,,,,,,,,,,
562,0.000881664,,,,,,,,,,,,,,,,,,,,,,
561,0.001054398,,,,,,,,,,,,,,,,,,,,,,
560,0.000973004,,,,,,,,,,,,,,,,,,,,,,
559,0.000681387,,,,,,,,,,,,,,,,,,,,,,
558,0.000455806,,,,,,,,,,,,,,,,,,,,,,
557,0.000260336,,,,,,,,,,,,,,,,,,,,,,
556,0.000412197,,,,,,,,,,,,,,,,,,,,,,
555,0.00029375,,,,,,,,,,,,,,,,,,,,,,
554,6.01E-05,,,,,,,,,,,,,,,,,,,,,,
553,-0.000222925,,,,,,,,,,,,,,,,,,,,,,
552,9.92E-05,,,,,,,,,,,,,,,,,,,,,,
551,-0.000438908,,,,,,,,,,,,,,,,,,,,,,
550,-0.000462853,,,,,,,,,,,,,,,,,,,,,,
549,-0.000441907,,,,,,,,,,,,,,,,,,,,,,
548,-0.000766893,,,,,,,,,,,,,,,,,,,,,,
547,-0.000666725,,,,,,,,,,,,,,,,,,,,,,
546,-0.000577546,,,,,,,,,,,,,,,,,,,,,,
545,-0.000715106,,,,,,,,,,,,,,,,,,,,,,
544,-0.000633382,,,,,,,,,,,,,,,,,,,,,,
543,-0.000902999,,,,,,,,,,,,,,,,,,,,,,
542,-0.000887912,,,,,,,,,,,,,,,,,,,,,,
541,-0.001040972,,,,,,,,,,,,,,,,,,,,,,
540,-0.000873497,,,,,,,,,,,,,,,,,,,,,,
539,-0.00059864,,,,,,,,,,,,,,,,,,,,,,
538,-0.000608929,,,,,,,,,,,,,,,,,,,,,,
537,-0.000460164,,,,,,,,,,,,,,,,,,,,,,
536,-0.000400323,,,,,,,,,,,,,,,,,,,,,,
535,-9.35E-05,,,,,,,,,,,,,,,,,,,,,,
534,0.000164951,,,,,,,,,,,,,,,,,,,,,,
533,0.000448006,,,,,,,,,,,,,,,,,,,,,,
532,0.000836793,,,,,,,,,,,,,,,,,,,,,,
531,0.001166615,,,,,,,,,,,,,,,,,,,,,,
530,0.001409238,,,,,,,,,,,,,,,,,,,,,,
529,0.002040302,,,,,,,,,,,,,,,,,,,,,,
528,0.002431168,,,,,,,,,,,,,,,,,,,,,,
527,0.002889066,,,,,,,,,,,,,,,,,,,,,,
526,0.003366881,,,,,,,,,,,,,,,,,,,,,,
525,0.004035729,,,,,,,,,,,,,,,,,,,,,,
524,0.00445515,,,,,,,,,,,,,,,,,,,,,,
523,0.005123792,,,,,,,,,,,,,,,,,,,,,,
522,0.005971444,,,,,,,,,,,,,,,,,,,,,,
521,0.00651047,,,,,,,,,,,,,,,,,,,,,,
520,0.007063084,,,,,,,,,,,,,,,,,,,,,,
519,0.00765318,,,,,,,,,,,,,,,,,,,,,,
518,0.008408496,,,,,,,,,,,,,,,,,,,,,,
517,0.009295831,,,,,,,,,,,,,,,,,,,,,,
516,0.009907032,,,,,,,,,,,,,,,,,,,,,,
515,0.010322647,,,,,,,,,,,,,,,,,,,,,,
514,0.011052432,,,,,,,,,,,,,,,,,,,,,,
513,0.011876523,,,,,,,,,,,,,,,,,,,,,,
512,0.012527736,,,,,,,,,,,,,,,,,,,,,,
511,0.013014439,,,,,,,,,,,,,,,,,,,,,,
510,0.013759587,,,,,,,,,,,,,,,,,,,,,,
509,0.014294274,,,,,,,,,,,,,,,,,,,,,,
508,0.014904786,,,,,,,,,,,,,,,,,,,,,,
507,0.015372358,,,,,,,,,,,,,,,,,,,,,,
506,0.016099297,,,,,,,,,,,,,,,,,,,,,,
505,0.016726851,,,,,,,,,,,,,,,,,,,,,,
504,0.017389318,,,,,,,,,,,,,,,,,,,,,,
503,0.017966103,,,,,,,,,,,,,,,,,,,,,,
502,0.018439254,,,,,,,,,,,,,,,,,,,,,,
501,0.018663241,,,,,,,,,,,,,,,,,,,,,,
500,0.019372243,,,,,,,,,,,,,,,,,,,,,,
499,0.019608358,,,,,,,,,,,,,,,,,,,,,,
498,0.019913755,,,,,,,,,,,,,,,,,,,,,,
497,0.020251803,,,,,,,,,,,,,,,,,,,,,,
496,0.020574074,,,,,,,,,,,,,,,,,,,,,,
495,0.020982234,,,,,,,,,,,,,,,,,,,,,,
494,0.021235071,,,,,,,,,,,,,,,,,,,,,,
493,0.021353498,,,,,,,,,,,,,,,,,,,,,,
492,0.021510389,,,,,,,,,,,,,,,,,,,,,,
491,0.021760704,,,,,,,,,,,,,,,,,,,,,,
490,0.021877341,,,,,,,,,,,,,,,,,,,,,,
489,0.021960897,,,,,,,,,,,,,,,,,,,,,,
488,0.022011381,,,,,,,,,,,,,,,,,,,,,,
487,0.022158785,,,,,,,,,,,,,,,,,,,,,,
486,0.022387614,,,,,,,,,,,,,,,,,,,,,,
485,0.022404458,,,,,,,,,,,,,,,,,,,,,,
484,0.022626083,,,,,,,,,,,,,,,,,,,,,,
483,0.02268922,,,,,,,,,,,,,,,,,,,,,,
482,0.022765566,,,,,,,,,,,,,,,,,,,,,,
481,0.022696011,,,,,,,,,,,,,,,,,,,,,,
480,0.023144256,,,,,,,,,,,,,,,,,,,,,,
479,0.023212792,,,,,,,,,,,,,,,,,,,,,,
478,0.023306821,,,,,,,,,,,,,,,,,,,,,,
477,0.024174906,,,,,,,,,,,,,,,,,,,,,,
476,0.024481561,,,,,,,,,,,,,,,,,,,,,,
475,0.025326123,,,,,,,,,,,,,,,,,,,,,,
474,0.025756245,,,,,,,,,,,,,,,,,,,,,,
473,0.026366124,,,,,,,,,,,,,,,,,,,,,,
472,0.027174734,,,,,,,,,,,,,,,,,,,,,,
471,0.027964365,,,,,,,,,,,,,,,,,,,,,,
470,0.028935084,,,,,,,,,,,,,,,,,,,,,,
469,0.029997559,,,,,,,,,,,,,,,,,,,,,,
