Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,,,,,
594,0.002104651,,,,,,,,,,,,,,,,,,,,,,
593,0.002134149,,,,,,,,,,,,,,,,,,,,,,
592,0.001885999,,,,,,,,,,,,,,,,,,,,,,
591,0.001815367,,,,,,,,,,,,,,,,,,,,,,
590,0.001797353,,,,,,,,,,,,,,,,,,,,,,
589,0.001637913,,,,,,,,,,,,,,,,,,,,,,
588,0.001822879,,,,,,,,,,,,,,,,,,,,,,
587,0.001704073,,,,,,,,,,,,,,,,,,,,,,
586,0.001790985,,,,,,,,,,,,,,,,,,,,,,
585,0.001474843,,,,,,,,,,,,,,,,,,,,,,
584,0.001435728,,,,,,,,,,,,,,,,,,,,,,
583,0.001323,,,,,,,,,,,,,,,,,,,,,,
582,0.001171469,,,,,,,,,,,,,,,,,,,,,,
581,0.001014724,,,,,,,,,,,,,,,,,,,,,,
580,0.001005928,,,,,,,,,,,,,,,,,,,,,,
579,0.00082437,,,,,,,,,,,,,,,,,,,,,,
578,0.000741904,,,,,,,,,,,,,,,,,,,,,,
577,0.000631974,,,,,,,,,,,,,,,,,,,,,,
576,0.000586921,,,,,,,,,,,,,,,,,,,,,,
575,0.00048737,,,,,,,,,,,,,,,,,,,,,,
574,0.000332063,,,,,,,,,,,,,,,,,,,,,,
573,0.000107932,,,,,,,,,,,,,,,,,,,,,,
572,0.000139962,,,,,,,,,,,,,,,,,,,,,,
571,3.34E-06,,,,,,,,,,,,,,,,,,,,,,
570,-2.85E-05,,,,,,,,,,,,,,,,,,,,,,
569,-0.000321074,,,,,,,,,,,,,,,,,,,,,,
568,-0.000360907,,,,,,,,,,,,,,,,,,,,,,
567,-0.000714848,,,,,,,,,,,,,,,,,,,,,,
566,-0.000818364,,,,,,,,,,,,,,,,,,,,,,
565,-0.000783224,,,,,,,,,,,,,,,,,,,,,,
564,-0.000995933,,,,,,,,,,,,,,,,,,,,,,
563,-0.001152053,,,,,,,,,,,,,,,,,,,,,,
562,-0.001374697,,,,,,,,,,,,,,,,,,,,,,
561,-0.001369071,,,,,,,,,,,,,,,,,,,,,,
560,-0.001552296,,,,,,,,,,,,,,,,,,,,,,
559,-0.001856296,,,,,,,,,,,,,,,,,,,,,,
558,-0.002118973,,,,,,,,,,,,,,,,,,,,,,
557,-0.002161423,,,,,,,,,,,,,,,,,,,,,,
556,-0.002509627,,,,,,,,,,,,,,,,,,,,,,
555,-0.00249573,,,,,,,,,,,,,,,,,,,,,,
554,-0.002771189,,,,,,,,,,,,,,,,,,,,,,
553,-0.003104513,,,,,,,,,,,,,,,,,,,,,,
552,-0.003161309,,,,,,,,,,,,,,,,,,,,,,
551,-0.00351919,,,,,,,,,,,,,,,,,,,,,,
550,-0.00365115,,,,,,,,,,,,,,,,,,,,,,
549,-0.003799954,,,,,,,,,,,,,,,,,,,,,,
548,-0.004101104,,,,,,,,,,,,,,,,,,,,,,
547,-0.004174897,,,,,,,,,,,,,,,,,,,,,,
546,-0.004274772,,,,,,,,,,,,,,,,,,,,,,
545,-0.004393896,,,,,,,,,,,,,,,,,,,,,,
544,-0.004648896,,,,,,,,,,,,,,,,,,,,,,
543,-0.004673071,,,,,,,,,,,,,,,,,,,,,,
542,-0.004795157,,,,,,,,,,,,,,,,,,,,,,
541,-0.004899703,,,,,,,,,,,,,,,,,,,,,,
540,-0.004896682,,,,,,,,,,,,,,,,,,,,,,
539,-0.004889823,,,,,,,,,,,,,,,,,,,,,,
538,-0.004968447,,,,,,,,,,,,,,,,,,,,,,
537,-0.004966195,,,,,,,,,,,,,,,,,,,,,,
536,-0.004878099,,,,,,,,,,,,,,,,,,,,,,
535,-0.004756805,,,,,,,,,,,,,,,,,,,,,,
534,-0.004747484,,,,,,,,,,,,,,,,,,,,,,
533,-0.004603973,,,,,,,,,,,,,,,,,,,,,,
532,-0.004349972,,,,,,,,,,,,,,,,,,,,,,
531,-0.004106027,,,,,,,,,,,,,,,,,,,,,,
