Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,,
641,0.000652298,,,,,,,,,,,,,,,,,,,
640,0.001040931,,,,,,,,,,,,,,,,,,,
639,0.001508273,,,,,,,,,,,,,,,,,,,
638,0.001195064,,,,,,,,,,,,,,,,,,,
637,0.00098595,,,,,,,,,,,,,,,,,,,
636,0.001434612,,,,,,,,,,,,,,,,,,,
635,0.001110711,,,,,,,,,,,,,,,,,,,
634,0.001247007,,,,,,,,,,,,,,,,,,,
633,0.001442897,,,,,,,,,,,,,,,,,,,
632,0.001147279,,,,,,,,,,,,,,,,,,,
631,0.001573608,,,,,,,,,,,,,,,,,,,
630,0.001299944,,,,,,,,,,,,,,,,,,,
629,0.001431833,,,,,,,,,,,,,,,,,,,
628,0.001538459,,,,,,,,,,,,,,,,,,,
627,0.001279771,,,,,,,,,,,,,,,,,,,
626,0.00176494,,,,,,,,,,,,,,,,,,,
625,0.001413263,,,,,,,,,,,,,,,,,,,
624,0.001516196,,,,,,,,,,,,,,,,,,,
623,0.001420379,,,,,,,,,,,,,,,,,,,
622,0.001410173,,,,,,,,,,,,,,,,,,,
621,0.001495597,,,,,,,,,,,,,,,,,,,
620,0.001595925,,,,,,,,,,,,,,,,,,,
619,0.001317937,,,,,,,,,,,,,,,,,,,
618,0.001479675,,,,,,,,,,,,,,,,,,,
617,0.001253835,,,,,,,,,,,,,,,,,,,
616,0.001326583,,,,,,,,,,,,,,,,,,,
615,0.001443754,,,,,,,,,,,,,,,,,,,
614,0.00157075,,,,,,,,,,,,,,,,,,,
613,0.001316613,,,,,,,,,,,,,,,,,,,
612,0.001371479,,,,,,,,,,,,,,,,,,,
611,0.001758547,,,,,,,,,,,,,,,,,,,
610,0.001595692,,,,,,,,,,,,,,,,,,,
609,0.001488428,,,,,,,,,,,,,,,,,,,
608,0.001466896,,,,,,,,,,,,,,,,,,,
607,0.001115019,,,,,,,,,,,,,,,,,,,
606,0.001354756,,,,,,,,,,,,,,,,,,,
605,0.001309369,,,,,,,,,,,,,,,,,,,
