Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,
482,0.019097846,,,,,,,,,,,,,,,,,,
481,0.019212281,,,,,,,,,,,,,,,,,,
480,0.019338114,,,,,,,,,,,,,,,,,,
479,0.019720083,,,,,,,,,,,,,,,,,,
478,0.019964436,,,,,,,,,,,,,,,,,,
477,0.020415323,,,,,,,,,,,,,,,,,,
476,0.020826429,,,,,,,,,,,,,,,,,,
475,0.021444596,,,,,,,,,,,,,,,,,,
474,0.022024725,,,,,,,,,,,,,,,,,,
473,0.02256522,,,,,,,,,,,,,,,,,,
472,0.023406498,,,,,,,,,,,,,,,,,,
471,0.024205532,,,,,,,,,,,,,,,,,,
470,0.024983115,,,,,,,,,,,,,,,,,,
469,0.02574946,,,,,,,,,,,,,,,,,,
468,0.026687322,,,,,,,,,,,,,,,,,,
467,0.027556103,,,,,,,,,,,,,,,,,,
466,0.028400756,,,,,,,,,,,,,,,,,,
465,0.029262509,,,,,,,,,,,,,,,,,,
464,0.030135518,,,,,,,,,,,,,,,,,,
463,0.031041952,,,,,,,,,,,,,,,,,,
462,0.031708229,,,,,,,,,,,,,,,,,,
461,0.032552522,,,,,,,,,,,,,,,,,,
460,0.033186026,,,,,,,,,,,,,,,,,,
459,0.033994876,,,,,,,,,,,,,,,,,,
458,0.034681235,,,,,,,,,,,,,,,,,,
457,0.03525297,,,,,,,,,,,,,,,,,,
456,0.035855085,,,,,,,,,,,,,,,,,,
455,0.036630705,,,,,,,,,,,,,,,,,,
454,0.03723646,,,,,,,,,,,,,,,,,,
453,0.037829895,,,,,,,,,,,,,,,,,,
452,0.038401663,,,,,,,,,,,,,,,,,,
451,0.039130405,,,,,,,,,,,,,,,,,,
450,0.039795853,,,,,,,,,,,,,,,,,,
449,0.040333033,,,,,,,,,,,,,,,,,,
448,0.040844142,,,,,,,,,,,,,,,,,,
447,0.04146973,,,,,,,,,,,,,,,,,,
446,0.041945089,,,,,,,,,,,,,,,,,,
445,0.042474285,,,,,,,,,,,,,,,,,,
444,0.043096196,,,,,,,,,,,,,,,,,,
443,0.043688484,,,,,,,,,,,,,,,,,,
442,0.044234343,,,,,,,,,,,,,,,,,,
441,0.04475813,,,,,,,,,,,,,,,,,,
440,0.045267209,,,,,,,,,,,,,,,,,,
439,0.045892563,,,,,,,,,,,,,,,,,,
438,0.046390444,,,,,,,,,,,,,,,,,,
437,0.046954248,,,,,,,,,,,,,,,,,,
436,0.047293469,,,,,,,,,,,,,,,,,,
435,0.047752939,,,,,,,,,,,,,,,,,,
434,0.048344992,,,,,,,,,,,,,,,,,,
433,0.04881661,,,,,,,,,,,,,,,,,,
432,0.049314264,,,,,,,,,,,,,,,,,,
431,0.04984602,,,,,,,,,,,,,,,,,,
430,0.050410461,,,,,,,,,,,,,,,,,,
429,0.051106684,,,,,,,,,,,,,,,,,,
428,0.051627435,,,,,,,,,,,,,,,,,,
427,0.052226953,,,,,,,,,,,,,,,,,,
426,0.05288095,,,,,,,,,,,,,,,,,,
425,0.05349825,,,,,,,,,,,,,,,,,,
424,0.054155659,,,,,,,,,,,,,,,,,,
423,0.055047341,,,,,,,,,,,,,,,,,,
422,0.055743597,,,,,,,,,,,,,,,,,,
421,0.056524638,,,,,,,,,,,,,,,,,,
420,0.057335235,,,,,,,,,,,,,,,,,,
419,0.058040526,,,,,,,,,,,,,,,,,,
418,0.058953248,,,,,,,,,,,,,,,,,,
417,0.059831791,,,,,,,,,,,,,,,,,,
416,0.060672343,,,,,,,,,,,,,,,,,,
415,0.061676238,,,,,,,,,,,,,,,,,,
414,0.062703393,,,,,,,,,,,,,,,,,,
413,0.063612491,,,,,,,,,,,,,,,,,,
412,0.064659409,,,,,,,,,,,,,,,,,,
411,0.06567923,,,,,,,,,,,,,,,,,,
410,0.066705249,,,,,,,,,,,,,,,,,,
409,0.067801505,,,,,,,,,,,,,,,,,,
408,0.068827197,,,,,,,,,,,,,,,,,,
407,0.069969758,,,,,,,,,,,,,,,,,,
406,0.071147911,,,,,,,,,,,,,,,,,,
405,0.072294556,,,,,,,,,,,,,,,,,,
404,0.073559552,,,,,,,,,,,,,,,,,,
403,0.074837931,,,,,,,,,,,,,,,,,,
402,0.076300062,,,,,,,,,,,,,,,,,,
401,0.077525705,,,,,,,,,,,,,,,,,,
400,0.078850433,,,,,,,,,,,,,,,,,,
399,0.080364197,,,,,,,,,,,,,,,,,,
398,0.081730969,,,,,,,,,,,,,,,,,,
397,0.083415076,,,,,,,,,,,,,,,,,,
396,0.085179977,,,,,,,,,,,,,,,,,,
395,0.086692199,,,,,,,,,,,,,,,,,,
394,0.088422768,,,,,,,,,,,,,,,,,,
393,0.090324454,,,,,,,,,,,,,,,,,,
392,0.09217266,,,,,,,,,,,,,,,,,,
391,0.094202511,,,,,,,,,,,,,,,,,,
390,0.096044563,,,,,,,,,,,,,,,,,,
389,0.098266117,,,,,,,,,,,,,,,,,,
388,0.100286394,,,,,,,,,,,,,,,,,,
387,0.102529548,,,,,,,,,,,,,,,,,,
386,0.104892045,,,,,,,,,,,,,,,,,,
385,0.10711959,,,,,,,,,,,,,,,,,,
384,0.109356351,,,,,,,,,,,,,,,,,,
383,0.111719146,,,,,,,,,,,,,,,,,,
382,0.114332229,,,,,,,,,,,,,,,,,,
381,0.116902269,,,,,,,,,,,,,,,,,,
380,0.119610809,,,,,,,,,,,,,,,,,,
379,0.122232504,,,,,,,,,,,,,,,,,,
378,0.124773063,,,,,,,,,,,,,,,,,,
377,0.127477795,,,,,,,,,,,,,,,,,,
376,0.130663976,,,,,,,,,,,,,,,,,,
375,0.133670494,,,,,,,,,,,,,,,,,,
374,0.13660799,,,,,,,,,,,,,,,,,,
373,0.139635205,,,,,,,,,,,,,,,,,,
372,0.143076107,,,,,,,,,,,,,,,,,,
371,0.146859676,,,,,,,,,,,,,,,,,,
370,0.150508821,,,,,,,,,,,,,,,,,,
369,0.154062331,,,,,,,,,,,,,,,,,,
368,0.157730877,,,,,,,,,,,,,,,,,,
367,0.161925286,,,,,,,,,,,,,,,,,,
366,0.166192487,,,,,,,,,,,,,,,,,,
365,0.170511648,,,,,,,,,,,,,,,,,,
364,0.174952999,,,,,,,,,,,,,,,,,,
363,0.179362834,,,,,,,,,,,,,,,,,,
362,0.183530703,,,,,,,,,,,,,,,,,,
361,0.188871712,,,,,,,,,,,,,,,,,,
360,0.194137096,,,,,,,,,,,,,,,,,,
359,0.199230641,,,,,,,,,,,,,,,,,,
358,0.204720959,,,,,,,,,,,,,,,,,,
357,0.2104619,,,,,,,,,,,,,,,,,,
356,0.216705859,,,,,,,,,,,,,,,,,,
355,0.223747596,,,,,,,,,,,,,,,,,,
354,0.229629353,,,,,,,,,,,,,,,,,,
353,0.23553434,,,,,,,,,,,,,,,,,,
352,0.241847351,,,,,,,,,,,,,,,,,,
351,0.248611569,,,,,,,,,,,,,,,,,,
350,0.254689753,,,,,,,,,,,,,,,,,,
349,0.260673732,,,,,,,,,,,,,,,,,,
348,0.266673952,,,,,,,,,,,,,,,,,,
347,0.272836596,,,,,,,,,,,,,,,,,,
346,0.278458834,,,,,,,,,,,,,,,,,,
345,0.285017431,,,,,,,,,,,,,,,,,,
344,0.290649384,,,,,,,,,,,,,,,,,,
343,0.296919465,,,,,,,,,,,,,,,,,,
342,0.30382517,,,,,,,,,,,,,,,,,,
341,0.310611159,,,,,,,,,,,,,,,,,,
340,0.317272514,,,,,,,,,,,,,,,,,,
339,0.323631853,,,,,,,,,,,,,,,,,,
338,0.33051765,,,,,,,,,,,,,,,,,,
337,0.338162065,,,,,,,,,,,,,,,,,,
336,0.345028788,,,,,,,,,,,,,,,,,,
335,0.352751106,,,,,,,,,,,,,,,,,,
334,0.358074158,,,,,,,,,,,,,,,,,,
333,0.365169764,,,,,,,,,,,,,,,,,,
332,0.371825129,,,,,,,,,,,,,,,,,,
331,0.378967345,,,,,,,,,,,,,,,,,,
330,0.385657281,,,,,,,,,,,,,,,,,,
329,0.391748488,,,,,,,,,,,,,,,,,,
328,0.39747709,,,,,,,,,,,,,,,,,,
327,0.40325138,,,,,,,,,,,,,,,,,,
326,0.40988636,,,,,,,,,,,,,,,,,,
325,0.414726824,,,,,,,,,,,,,,,,,,
324,0.419475436,,,,,,,,,,,,,,,,,,
323,0.425649971,,,,,,,,,,,,,,,,,,
322,0.430544794,,,,,,,,,,,,,,,,,,
321,0.436371326,,,,,,,,,,,,,,,,,,
320,0.441624939,,,,,,,,,,,,,,,,,,
319,0.447133511,,,,,,,,,,,,,,,,,,
318,0.452281773,,,,,,,,,,,,,,,,,,
317,0.458136082,,,,,,,,,,,,,,,,,,
316,0.464741916,,,,,,,,,,,,,,,,,,
315,0.470321626,,,,,,,,,,,,,,,,,,
314,0.476397067,,,,,,,,,,,,,,,,,,
313,0.482273221,,,,,,,,,,,,,,,,,,
312,0.48795867,,,,,,,,,,,,,,,,,,
311,0.494738668,,,,,,,,,,,,,,,,,,
310,0.500714481,,,,,,,,,,,,,,,,,,
309,0.506482244,,,,,,,,,,,,,,,,,,
308,0.513001621,,,,,,,,,,,,,,,,,,
307,0.519556046,,,,,,,,,,,,,,,,,,
306,0.52724433,,,,,,,,,,,,,,,,,,
305,0.533568203,,,,,,,,,,,,,,,,,,
304,0.540843308,,,,,,,,,,,,,,,,,,
303,0.547219098,,,,,,,,,,,,,,,,,,
302,0.555038214,,,,,,,,,,,,,,,,,,
301,0.562594771,,,,,,,,,,,,,,,,,,
300,0.569626629,,,,,,,,,,,,,,,,,,
299,0.576949,,,,,,,,,,,,,,,,,,
298,0.584162593,,,,,,,,,,,,,,,,,,
297,0.593217611,,,,,,,,,,,,,,,,,,
296,0.603767872,,,,,,,,,,,,,,,,,,
295,0.61054939,,,,,,,,,,,,,,,,,,
294,0.619268894,,,,,,,,,,,,,,,,,,
293,0.629972696,,,,,,,,,,,,,,,,,,
