Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,
542,-0.00412772,,,,,,,,,,,,,,,,,,
541,-0.004146386,,,,,,,,,,,,,,,,,,
540,-0.004326649,,,,,,,,,,,,,,,,,,
539,-0.004183717,,,,,,,,,,,,,,,,,,
538,-0.004245243,,,,,,,,,,,,,,,,,,
537,-0.004404709,,,,,,,,,,,,,,,,,,
536,-0.004272876,,,,,,,,,,,,,,,,,,
535,-0.003987595,,,,,,,,,,,,,,,,,,
534,-0.004028067,,,,,,,,,,,,,,,,,,
533,-0.003607664,,,,,,,,,,,,,,,,,,
532,-0.003593903,,,,,,,,,,,,,,,,,,
531,-0.003318554,,,,,,,,,,,,,,,,,,
530,-0.003228222,,,,,,,,,,,,,,,,,,
529,-0.002745004,,,,,,,,,,,,,,,,,,
528,-0.002413001,,,,,,,,,,,,,,,,,,
527,-0.002158693,,,,,,,,,,,,,,,,,,
526,-0.001895473,,,,,,,,,,,,,,,,,,
525,-0.001371549,,,,,,,,,,,,,,,,,,
524,-0.000806892,,,,,,,,,,,,,,,,,,
523,-0.000249624,,,,,,,,,,,,,,,,,,
522,-9.01E-06,,,,,,,,,,,,,,,,,,
521,0.000485789,,,,,,,,,,,,,,,,,,
520,0.001103418,,,,,,,,,,,,,,,,,,
519,0.001537523,,,,,,,,,,,,,,,,,,
518,0.002209959,,,,,,,,,,,,,,,,,,
517,0.002723963,,,,,,,,,,,,,,,,,,
516,0.003056343,,,,,,,,,,,,,,,,,,
515,0.00369696,,,,,,,,,,,,,,,,,,
514,0.004077144,,,,,,,,,,,,,,,,,,
513,0.004472306,,,,,,,,,,,,,,,,,,
512,0.004922518,,,,,,,,,,,,,,,,,,
511,0.005361036,,,,,,,,,,,,,,,,,,
510,0.006099641,,,,,,,,,,,,,,,,,,
509,0.006448514,,,,,,,,,,,,,,,,,,
508,0.006891995,,,,,,,,,,,,,,,,,,
507,0.007358677,,,,,,,,,,,,,,,,,,
506,0.007445517,,,,,,,,,,,,,,,,,,
505,0.007695968,,,,,,,,,,,,,,,,,,
504,0.008012823,,,,,,,,,,,,,,,,,,
503,0.008200049,,,,,,,,,,,,,,,,,,
502,0.008577966,,,,,,,,,,,,,,,,,,
501,0.008799856,,,,,,,,,,,,,,,,,,
500,0.008958591,,,,,,,,,,,,,,,,,,
499,0.009323601,,,,,,,,,,,,,,,,,,
498,0.009374278,,,,,,,,,,,,,,,,,,
497,0.009749883,,,,,,,,,,,,,,,,,,
496,0.009926843,,,,,,,,,,,,,,,,,,
495,0.009804448,,,,,,,,,,,,,,,,,,
494,0.010094813,,,,,,,,,,,,,,,,,,
493,0.010526229,,,,,,,,,,,,,,,,,,
492,0.010219197,,,,,,,,,,,,,,,,,,
491,0.010325722,,,,,,,,,,,,,,,,,,
490,0.010267884,,,,,,,,,,,,,,,,,,
489,0.010384284,,,,,,,,,,,,,,,,,,
488,0.010251186,,,,,,,,,,,,,,,,,,
