Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,
561,0.006675941,,,,,,,,,,,,,,,,,,
560,0.006547365,,,,,,,,,,,,,,,,,,
559,0.006434852,,,,,,,,,,,,,,,,,,
558,0.006344694,,,,,,,,,,,,,,,,,,
557,0.006239246,,,,,,,,,,,,,,,,,,
556,0.00617079,,,,,,,,,,,,,,,,,,
555,0.006098066,,,,,,,,,,,,,,,,,,
554,0.005923,,,,,,,,,,,,,,,,,,
553,0.005697303,,,,,,,,,,,,,,,,,,
552,0.005633391,,,,,,,,,,,,,,,,,,
551,0.005562986,,,,,,,,,,,,,,,,,,
550,0.005419116,,,,,,,,,,,,,,,,,,
549,0.005244743,,,,,,,,,,,,,,,,,,
548,0.005118763,,,,,,,,,,,,,,,,,,
547,0.005106243,,,,,,,,,,,,,,,,,,
546,0.004978366,,,,,,,,,,,,,,,,,,
545,0.004896338,,,,,,,,,,,,,,,,,,
544,0.004872567,,,,,,,,,,,,,,,,,,
543,0.004866311,,,,,,,,,,,,,,,,,,
542,0.004884766,,,,,,,,,,,,,,,,,,
541,0.004750569,,,,,,,,,,,,,,,,,,
540,0.004858536,,,,,,,,,,,,,,,,,,
539,0.004893641,,,,,,,,,,,,,,,,,,
538,0.005044879,,,,,,,,,,,,,,,,,,
537,0.005028302,,,,,,,,,,,,,,,,,,
536,0.005190118,,,,,,,,,,,,,,,,,,
535,0.005390652,,,,,,,,,,,,,,,,,,
534,0.00568975,,,,,,,,,,,,,,,,,,
533,0.005792862,,,,,,,,,,,,,,,,,,
532,0.006110535,,,,,,,,,,,,,,,,,,
531,0.006483984,,,,,,,,,,,,,,,,,,
530,0.006825251,,,,,,,,,,,,,,,,,,
529,0.007124129,,,,,,,,,,,,,,,,,,
528,0.007605602,,,,,,,,,,,,,,,,,,
527,0.008035315,,,,,,,,,,,,,,,,,,
526,0.008518855,,,,,,,,,,,,,,,,,,
525,0.008925613,,,,,,,,,,,,,,,,,,
524,0.009517374,,,,,,,,,,,,,,,,,,
523,0.010148812,,,,,,,,,,,,,,,,,,
522,0.010691486,,,,,,,,,,,,,,,,,,
521,0.011267966,,,,,,,,,,,,,,,,,,
