0min,,1min,,2min,,3min,,4min,,5min,,6min,,7min,,8min,,9min,,10min,,11min,,12min,,13min,,14min,,15min,,20min,,25min,,30min,,45min,,60min,,90min,,120min,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
790.9990234,0.0007421632181,790.9990234,0.0002820415248,790.9990234,0.0006906429189,790.9990234,0.0004677782999,790.9990234,0.0008359630592,790.9990234,0.001688012737,790.9990234,0.001226343215,790.9990234,0.001837644377,790.9990234,0.0006652349839,790.9990234,0.001773985452,790.9990234,0.002696482232,790.9990234,0.003729125485,790.9990234,0.002267982811,790.9990234,0.002773145912,790.9990234,0.002174263587,790.9990234,0.001962649869,790.9990234,0.002367760753,790.9990234,0.002380930819,790.9990234,0.006103893742,790.9990234,0.002711720066,790.9990234,0.002666320652,790.9990234,0.004184865858,790.9990234,0.002824210329,
789.9868164,-0.0002235454449,789.9868164,0.0009349714383,789.9868164,0.000748879218,789.9868164,-0.001054968685,789.9868164,0.001784668304,789.9868164,0.001726890681,789.9868164,0.001424794435,789.9868164,6.904336624E-005,789.9868164,0.001550460467,789.9868164,0.002008677926,789.9868164,0.00208103261,789.9868164,0.003417258617,789.9868164,0.002808108693,789.9868164,0.002608998446,789.9868164,0.002268867567,789.9868164,0.0032052733,789.9868164,0.002198016737,789.9868164,0.002201789292,789.9868164,0.006300305482,789.9868164,0.003998812754,789.9868164,0.002806675853,789.9868164,0.004146133084,789.9868164,0.00293701631,
789.0090332,0.0004351798852,789.0090332,0.0005216565914,789.0090332,0.0001269633503,789.0090332,6.469384971E-005,789.0090332,0.0004083359672,789.0090332,0.001070486382,789.0090332,0.0006812833017,789.0090332,0.001080036047,789.0090332,0.0009530532407,789.0090332,0.00203471072,789.0090332,0.00238231034,789.0090332,0.003881342709,789.0090332,0.002880753018,789.0090332,0.00268905866,789.0090332,0.002302436624,789.0090332,0.003381229239,789.0090332,0.001353639644,789.0090332,0.003962892108,789.0090332,0.00636045495,789.0090332,0.003826654283,789.0090332,0.002220834373,789.0090332,0.003609874984,789.0090332,0.002971288748,
787.9959106,0.0002079399856,787.9959106,1.374566637E-005,787.9959106,-1.434058959E-005,787.9959106,0.0004051490105,787.9959106,0.001703942893,787.9959106,0.0005194277037,787.9959106,0.00139482494,787.9959106,0.001997131389,787.9959106,0.001481596846,787.9959106,0.001339436043,787.9959106,0.003136303276,787.9959106,0.004928696901,787.9959106,0.003360098228,787.9959106,0.002783879172,787.9959106,0.002159720985,787.9959106,0.003684663912,787.9959106,0.002863763366,787.9959106,0.00302414922,787.9959106,0.006178745534,787.9959106,0.003301406512,787.9959106,0.003984679002,787.9959106,0.003232942661,787.9959106,0.003288834356,
786.9824829,0.0008286492084,786.9824829,0.0006105871871,786.9824829,-0.0002049167524,786.9824829,8.144489402E-005,786.9824829,0.0008583981544,786.9824829,0.0009019488352,786.9824829,0.002498985268,786.9824829,0.002000772161,786.9824829,0.0007716469117,786.9824829,0.0004254630185,786.9824829,0.001808452187,786.9824829,0.004047513474,786.9824829,0.004285477102,786.9824829,0.0020824112,786.9824829,0.001681723981,786.9824829,0.00265801209,786.9824829,0.001184992259,786.9824829,0.003591891145,786.9824829,0.006021494977,786.9824829,0.004397695884,786.9824829,0.004411607515,786.9824829,0.004576438107,786.9824829,0.004080070648,
786.00354,-0.000406788633,786.00354,0.001097423141,786.00354,0.0005603265599,786.00354,0.0002801247174,786.00354,3.606065002E-005,786.00354,0.0003347568854,786.00354,0.001232936862,786.00354,0.002104988787,786.00354,0.0006985766813,786.00354,0.001511182752,786.00354,0.002435697941,786.00354,0.004491896369,786.00354,0.003019691678,786.00354,0.002451108769,786.00354,0.002021239139,786.00354,0.001514949254,786.00354,0.002262023976,786.00354,0.003931074869,786.00354,0.006619217806,786.00354,0.003441836685,786.00354,0.002684318228,786.00354,0.004366552923,786.00354,0.002800970105,
784.9893188,8.54579921E-005,784.9893188,0.0009357237723,784.9893188,9.050677181E-005,784.9893188,0.0009610696579,784.9893188,0.001229302608,784.9893188,0.001423807582,784.9893188,0.001369635458,784.9893188,0.001541134319,784.9893188,0.001860365272,784.9893188,0.001605434576,784.9893188,0.003196276724,784.9893188,0.003779701889,784.9893188,0.004153241403,784.9893188,0.002027844777,784.9893188,0.002419740893,784.9893188,0.002375100506,784.9893188,0.002435671864,784.9893188,0.003625745419,784.9893188,0.006436349358,784.9893188,0.004237351008,784.9893188,0.002412348054,784.9893188,0.003771398449,784.9893188,0.003171034623,
784.0096436,-3.044083132E-005,784.0096436,-7.438989996E-005,784.0096436,0.0009005480679,784.0096436,0.0004759671574,784.0096436,0.0019082285,784.0096436,0.001535315299,784.0096436,0.001193557982,784.0096436,0.002221380826,784.0096436,0.001707867021,784.0096436,0.002072527306,784.0096436,0.003332890337,784.0096436,0.003130749566,784.0096436,0.002810401376,784.0096436,0.002539784415,784.0096436,0.002182900906,784.0096436,0.002706145868,784.0096436,0.002185840858,784.0096436,0.003382298863,784.0096436,0.005694235209,784.0096436,0.004084173124,784.0096436,0.004919245373,784.0096436,0.00405051792,784.0096436,0.00235149404,
782.9946289,0.001390436199,782.9946289,-0.0003844434978,782.9946289,0.001107258839,782.9946289,0.0003486167989,782.9946289,0.001939585549,782.9946289,0.001960933674,782.9946289,0.001077207387,782.9946289,0.001273098169,782.9946289,0.002415315714,782.9946289,0.001782796811,782.9946289,0.003910335246,782.9946289,0.003559266217,782.9946289,0.003690981772,782.9946289,0.002496355679,782.9946289,0.001531808288,782.9946289,0.002040770603,782.9946289,0.002756446833,782.9946289,0.003570045112,782.9946289,0.006171997637,782.9946289,0.003487891285,782.9946289,0.003350863699,782.9946289,0.004471286666,782.9946289,0.003325273516,
782.0142212,-8.489767788E-005,782.0142212,0.0004406732623,782.0142212,0.000508335419,782.0142212,0.0004017029714,782.0142212,0.001018719515,782.0142212,0.002113260562,782.0142212,0.002242170274,782.0142212,0.0007669273182,782.0142212,0.001240413287,782.0142212,0.002113650786,782.0142212,0.002712110756,782.0142212,0.003497520462,782.0142212,0.003430617275,782.0142212,0.003642164404,782.0142212,0.002897691214,782.0142212,0.002435489558,782.0142212,0.002511508297,782.0142212,0.003118338995,782.0142212,0.006418090314,782.0142212,0.003696202999,782.0142212,0.004051511176,782.0142212,0.0032593098,782.0142212,0.003003947902,
780.9984741,0.0006167826941,780.9984741,0.0003012359084,780.9984741,0.0005913532223,780.9984741,0.0003939041635,780.9984741,0.000929860922,780.9984741,0.001605798374,780.9984741,0.002425779821,780.9984741,0.001428014832,780.9984741,0.002677285811,780.9984741,0.002502187621,780.9984741,0.002569364384,780.9984741,0.003510281211,780.9984741,0.004221118521,780.9984741,0.002601186046,780.9984741,0.001761977328,780.9984741,0.00251223729,780.9984741,0.003614965128,780.9984741,0.004039282911,780.9984741,0.006615722086,780.9984741,0.003708029864,780.9984741,0.004116811324,780.9984741,0.003270081244,780.9984741,0.003773670178,
