0min,,1min,,2min,,3min,,4min,,5min,,6min,,7min,,8min,,9min,,10min,,15min,,20min,,25min,,30min,,45min,,60min,,90min,,120min,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
776.0146484,0.000201051,776.0146484,0.000131935,776.0146484,-0.000166053,776.0146484,0.000102728,776.0146484,-0.000265198,776.0146484,0.000539021,776.0146484,-3.57E-05,776.0146484,-1.73E-05,776.0146484,2.61E-05,776.0146484,-0.000171124,776.0146484,-0.00013293,776.0146484,0.000369809,776.0146484,0.000277198,776.0146484,0.000208121,776.0146484,0.000240573,776.0146484,0.000817082,776.0146484,0.001866111,776.0146484,0.001968579,776.0146484,0.002297206
774.9972534,0.000276136,774.9972534,6.09E-05,774.9972534,-6.40E-05,774.9972534,-3.67E-05,774.9972534,2.94E-05,774.9972534,0.000180514,774.9972534,-4.68E-05,774.9972534,-0.000140228,774.9972534,0.000394319,774.9972534,3.83E-05,774.9972534,-1.67E-05,774.9972534,-3.35E-05,774.9972534,0.00038981,774.9972534,9.03E-05,774.9972534,0.000395873,774.9972534,0.000851291,774.9972534,0.00202696,774.9972534,0.001630274,774.9972534,0.002456029
774.0146484,-5.95E-05,774.0146484,7.61E-05,774.0146484,-0.000266699,774.0146484,-0.000377616,774.0146484,0.000316519,774.0146484,-0.000138468,774.0146484,-0.000247192,774.0146484,9.73E-06,774.0146484,-0.000155081,774.0146484,-0.000217853,774.0146484,7.38E-06,774.0146484,-0.000217957,774.0146484,0.000508595,774.0146484,0.000106378,774.0146484,0.000622745,774.0146484,0.000941924,774.0146484,0.001781315,774.0146484,0.001848719,774.0146484,0.001924895
772.996521,-0.000121958,772.996521,0.000197322,772.996521,-0.000180491,772.996521,0.000145296,772.996521,-0.00025128,772.996521,-0.000350769,772.996521,0.000293646,772.996521,-0.000181216,772.996521,-0.000148767,772.996521,-0.000109277,772.996521,-0.000486901,772.996521,7.14E-05,772.996521,0.000296729,772.996521,-0.000221476,772.996521,0.000102624,772.996521,0.000945582,772.996521,0.001716989,772.996521,0.001557553,772.996521,0.00211183
772.0130615,-0.000480126,772.0130615,0.000151071,772.0130615,-0.00018313,772.0130615,0.000205557,772.0130615,-0.000196482,772.0130615,-0.000392513,772.0130615,-0.000123407,772.0130615,-0.000179767,772.0130615,-0.000266388,772.0130615,-0.000235705,772.0130615,5.04E-05,772.0130615,-0.000346371,772.0130615,0.000467675,772.0130615,0.000155732,772.0130615,2.79E-05,772.0130615,0.000842265,772.0130615,0.002043787,772.0130615,0.001444793,772.0130615,0.002115498
770.9942017,9.33E-05,770.9942017,-0.000149802,770.9942017,-0.000154822,770.9942017,1.56E-05,770.9942017,0.000198824,770.9942017,-8.36E-05,770.9942017,-0.000207918,770.9942017,-0.000354907,770.9942017,-0.000343216,770.9942017,0.000296496,770.9942017,-1.47E-05,770.9942017,-5.54E-05,770.9942017,0.000531868,770.9942017,6.47E-05,770.9942017,0.000130718,770.9942017,0.000941431,770.9942017,0.001575556,770.9942017,0.00194554,770.9942017,0.00187326
770.0100708,0.000213094,770.0100708,6.48E-05,770.0100708,0.000328099,770.0100708,1.26E-05,770.0100708,0.000163423,770.0100708,-8.25E-05,770.0100708,0.000275359,770.0100708,-0.00047361,770.0100708,5.12E-05,770.0100708,0.00031626,770.0100708,0.000368488,770.0100708,0.000430671,770.0100708,0.000576527,770.0100708,7.97E-05,770.0100708,0.000329135,770.0100708,0.001118652,770.0100708,0.001896607,770.0100708,0.001741419,770.0100708,0.0017429
768.9903564,0.000214389,768.9903564,-0.000124701,768.9903564,-0.000496675,768.9903564,-7.25E-05,768.9903564,0.000150216,768.9903564,-7.58E-05,768.9903564,-0.00043177,768.9903564,-0.00029143,768.9903564,-0.000366701,768.9903564,-5.88E-05,768.9903564,-0.000146852,768.9903564,-0.000217336,768.9903564,0.000349601,768.9903564,-0.00043927,768.9903564,0.00033455,768.9903564,0.000671509,768.9903564,0.001754544,768.9903564,0.001818824,768.9903564,0.002078952
768.0054321,-0.00025097,768.0054321,-0.000511775,768.0054321,-0.000638551,768.0054321,-7.90E-05,768.0054321,-0.000861252,768.0054321,-0.000200984,768.0054321,-0.000626609,768.0054321,-0.000544093,768.0054321,-0.000567309,768.0054321,-0.00098865,768.0054321,-0.000646151,768.0054321,-7.66E-05,768.0054321,-0.000107517,768.0054321,-0.000359511,768.0054321,2.33E-06,768.0054321,0.000730521,768.0054321,0.001425314,768.0054321,0.001530198,768.0054321,0.00177136
766.9851074,-0.000462181,766.9851074,-0.000631159,766.9851074,-0.000750924,766.9851074,-0.000566068,766.9851074,-0.000569325,766.9851074,-0.000481264,766.9851074,-0.00025366,766.9851074,-0.001089054,766.9851074,-0.000595487,766.9851074,-0.000735264,766.9851074,-0.000528425,766.9851074,-0.00040953,766.9851074,-4.43E-05,766.9851074,-0.000329921,766.9851074,5.81E-05,766.9851074,0.000265516,766.9851074,0.001244904,766.9851074,0.001164539,766.9851074,0.001584987
