0min,,1min,,2min,,3min,,4min,,5min,,6min,,7min,,8min,,9min,,10min,,15min,,20min,,25min,,30min,,45min,,60min,,90min,,120min,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
780.9984741,0.0004161609395,780.9984741,-0.0004076162004,780.9984741,-0.0001442644279,780.9984741,-0.0006769596948,780.9984741,-0.0004378732992,780.9984741,0.0001111685779,780.9984741,0.0003396531392,780.9984741,0.0001058606285,780.9984741,-0.0002678889141,780.9984741,0.001042331685,780.9984741,0.000304085348,780.9984741,-0.000758986047,780.9984741,0.001035611145,780.9984741,0.006442680955,780.9984741,0.0009354124777,780.9984741,0.004423009232,780.9984741,9.962062904E-005,780.9984741,0.0001575964852,780.9984741,0.001401732792,
780.0172119,0.0005839916412,780.0172119,-1.263216927E-005,780.0172119,0.0002825077681,780.0172119,0.000583550951,780.0172119,0.0003793951182,780.0172119,-0.0003013634123,780.0172119,0.001066490076,780.0172119,8.566511679E-005,780.0172119,-0.001004868886,780.0172119,-0.0008873440092,780.0172119,-4.353801705E-005,780.0172119,-0.0002206477075,780.0172119,0.00192310079,780.0172119,0.006596141495,780.0172119,0.001897100708,780.0172119,0.004290470388,780.0172119,0.002200826537,780.0172119,-5.647951184E-005,780.0172119,0.001546563697,
779.0006714,-0.0001508372225,779.0006714,7.857102173E-005,779.0006714,-0.0004608879972,779.0006714,-0.0004316151899,779.0006714,-0.0005104300799,779.0006714,0.000257667707,779.0006714,-0.0002715106821,779.0006714,-3.095851571E-005,779.0006714,-0.0003469404473,779.0006714,-0.0006062919274,779.0006714,-0.0005966239842,779.0006714,-0.000271407218,779.0006714,0.0006955431309,779.0006714,0.006130461581,779.0006714,0.001314171939,779.0006714,0.004013103899,779.0006714,0.0004137771612,779.0006714,-0.000418115902,779.0006714,0.001894162735,
777.9837036,0.0005277211894,777.9837036,0.0001070516737,777.9837036,1.309849722E-005,777.9837036,-0.0008498843526,777.9837036,-0.0009987221565,777.9837036,-0.0002989835339,777.9837036,-0.0004063748347,777.9837036,-0.0005208238726,777.9837036,0.000205868113,777.9837036,9.281111124E-005,777.9837036,-0.0004573712358,777.9837036,-0.0004270637583,777.9837036,0.0009964837227,777.9837036,0.005949425977,777.9837036,0.002671920229,777.9837036,0.00468818238,777.9837036,1.566129322E-005,777.9837036,0.0007349806256,777.9837036,0.002046830487,
777.0014038,-0.0002141277073,777.0014038,0.000916241901,777.0014038,-0.0001500609214,777.0014038,0.0008035444771,777.0014038,-0.0003451816156,777.0014038,-0.0001778519509,777.0014038,0.0002776380861,777.0014038,-0.0009853955125,777.0014038,-8.557058027E-005,777.0014038,0.0007907592226,777.0014038,-0.0001798702287,777.0014038,-0.0006799577386,777.0014038,0.001135184197,777.0014038,0.006737378426,777.0014038,0.0006527649239,777.0014038,0.004326549359,777.0014038,0.0002683909843,777.0014038,0.0007983836113,777.0014038,0.001670991653,
775.9836426,-0.0001483012747,775.9836426,0.0005034372443,775.9836426,0.0007305725594,775.9836426,-0.0006295561907,775.9836426,0.0005386585253,775.9836426,0.0006120129256,775.9836426,0.0005376217887,775.9836426,-0.0001434363512,775.9836426,0.0006540093455,775.9836426,-0.0002078663383,775.9836426,-0.0002267536474,775.9836426,-0.0001656386012,775.9836426,0.001828311943,775.9836426,0.006873296108,775.9836426,0.001510585309,775.9836426,0.003760718741,775.9836426,0.0005166027695,775.9836426,-6.108658999E-005,775.9836426,0.001465233276,
775.0006104,-0.0008417202625,775.0006104,-0.0005096544046,775.0006104,8.281711052E-005,775.0006104,-0.0003241783998,775.0006104,0.0005516695674,775.0006104,-0.0001743846369,775.0006104,-0.0001501126681,775.0006104,-0.0003684081021,775.0006104,0.0005148404161,775.0006104,-0.000364890584,775.0006104,7.919239579E-005,775.0006104,-6.828181358E-005,775.0006104,0.001103859162,775.0006104,0.007541328669,775.0006104,0.002533457242,775.0006104,0.003737219376,775.0006104,0.0002907967719,775.0006104,0.0005147886113,775.0006104,0.001281743636,
774.0172119,-7.765783607E-007,774.0172119,-0.0008336594328,774.0172119,-0.0001331887615,774.0172119,0.0010011798,774.0172119,-0.0006757708034,774.0172119,-0.0004531303712,774.0172119,0.0004913346493,774.0172119,-0.000794231426,774.0172119,-0.0007539729122,774.0172119,-0.0009817279642,774.0172119,0.0003734880011,774.0172119,-0.0006284705596,774.0172119,0.0004928118433,774.0172119,0.005737224128,774.0172119,0.0007974759792,774.0172119,0.004851416219,774.0172119,0.001305162441,774.0172119,-0.000458715891,774.0172119,0.0009532867116,
772.998291,-0.0009436565451,772.998291,0.000275669503,772.998291,2.33756582E-005,772.998291,-0.0001442126668,772.998291,-0.0005424898118,772.998291,-2.676526674E-005,772.998291,0.0005787815899,772.998291,-0.0002872392361,772.998291,-0.001210964168,772.998291,-0.00126016268,772.998291,-0.0005320964847,772.998291,-0.0008901339606,772.998291,0.001072899671,772.998291,0.007332454901,772.998291,0.001243372797,772.998291,0.004248094745,772.998291,0.00109970686,772.998291,0.0004963622196,772.998291,0.001152365934,
772.0142212,-0.0001162124463,772.0142212,-9.975306602E-005,772.0142212,-0.0002573855454,772.0142212,-0.0002535049571,772.0142212,-0.0004221502168,772.0142212,-0.0006386547466,772.0142212,0.0005656401045,772.0142212,-0.0001192661657,772.0142212,-0.0006745818537,772.0142212,-0.0007327310159,772.0142212,-0.0004592847545,772.0142212,-0.0003684598487,772.0142212,0.001841803663,772.0142212,0.006971086375,772.0142212,0.00132258446,772.0142212,0.004092744086,772.0142212,0.0003833332157,772.0142212,6.453851529E-005,772.0142212,0.0004326146154,
770.9945679,-0.0004997257493,770.9945679,0.0002425674757,770.9945679,0.0001644847071,770.9945679,0.0004655238008,770.9945679,-0.0009016036638,770.9945679,-0.0001576169452,770.9945679,0.001057667308,770.9945679,-0.0003814433876,770.9945679,-0.0006475980044,770.9945679,-0.0001224751322,770.9945679,-0.000385426305,770.9945679,0.0008830391453,770.9945679,0.0007674459484,770.9945679,0.007476564962,770.9945679,0.001442039618,770.9945679,0.005188310985,770.9945679,0.0004952478921,770.9945679,0.0002301095519,770.9945679,0.00137186877,
770.0096436,-0.0003544930369,770.0096436,-0.0005009151064,770.0096436,0.0002547408512,770.0096436,-0.0001738671272,770.0096436,-0.0008974704542,770.0096436,-0.001493070042,770.0096436,-0.0004445451195,770.0096436,0.0002798915957,770.0096436,-0.0005280632176,770.0096436,-5.088883336E-005,770.0096436,0.0001333332038,770.0096436,-0.0004483723023,770.0096436,0.000801806862,770.0096436,0.005322774872,770.0096436,0.002741103293,770.0096436,0.002911919728,770.0096436,0.0009396150708,770.0096436,0.0008730528643,770.0096436,-0.0001114506813,
768.9891968,-0.0003987196833,768.9891968,-0.0003087098594,768.9891968,-0.0002908091119,768.9891968,-0.0007335062837,768.9891968,-0.0002719245967,768.9891968,-0.001226968481,768.9891968,-0.0006725142011,768.9891968,0.0006313255872,768.9891968,-0.0003135211882,768.9891968,0.0003143435169,768.9891968,-0.0002239594178,768.9891968,-0.0009501656168,768.9891968,0.0008219838492,768.9891968,0.007350331172,768.9891968,0.001717404695,768.9891968,0.003032125765,768.9891968,0.0007119814982,768.9891968,-0.0002993974194,768.9891968,0.000606750662,
768.00354,-0.001062457333,768.00354,-0.0004491997825,768.00354,-9.40076643E-005,768.00354,-0.0009311547619,768.00354,-0.00105775753,768.00354,-0.001039216295,768.00354,-0.0003690288577,768.00354,-0.0005020527751,768.00354,-0.0006817152607,768.00354,-0.0005886619911,768.00354,-0.0007183624548,768.00354,-0.0005329238484,768.00354,0.0004375897115,768.00354,0.007691937033,768.00354,0.001108634286,768.00354,0.003107753582,768.00354,-0.0001735048718,768.00354,-0.0004196675727,768.00354,0.0009747938602,
767.0175781,-0.000511516002,767.0175781,-0.001787934219,767.0175781,0.0001695344108,767.0175781,-0.0004687489127,767.0175781,-0.0009874100797,767.0175781,-0.000579769141,767.0175781,-0.000880162348,767.0175781,-8.215429261E-005,767.0175781,-0.0004686971952,767.0175781,-3.147619645E-005,767.0175781,-0.001016645459,767.0175781,-0.0004354942066,767.0175781,0.001028293977,767.0175781,0.00719678821,767.0175781,0.0005792999873,767.0175781,0.003467955394,767.0175781,0.0002177814749,767.0175781,-0.0006592809223,767.0175781,-4.959468424E-005,
765.9959717,-0.0003066404315,765.9959717,-0.000744101475,765.9959717,4.059109415E-005,765.9959717,-0.0005665847566,765.9959717,-0.001063180389,765.9959717,-0.0008896689978,765.9959717,-0.0004828154633,765.9959717,-0.001088537509,765.9959717,-0.000583388377,765.9959717,-0.0001309632498,765.9959717,-0.0001262016449,765.9959717,-0.0009163794457,765.9959717,-1.910342507E-005,765.9959717,0.007163917646,765.9959717,0.001170223113,765.9959717,0.003835481359,765.9959717,8.025391435E-005,765.9959717,-0.0005064483266,765.9959717,4.061698201E-005,
