0min,,1min,,2min,,3min,,4min,,5min,,6min,,7min,,8min,,9min,,10min,,15min,,20min,,25min,,30min,,45min,,60min,,90min,,120min,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
777.0050659,0.001581428,777.0050659,0.002180898,777.0050659,0.001439235,777.0050659,0.001111852,777.0050659,0.001430846,777.0050659,0.001461805,777.0050659,0.001703059,777.0050659,0.001429859,777.0050659,0.001259001,777.0050659,0.001360884,777.0050659,0.001656206,777.0050659,0.001617724,777.0050659,0.001671901,777.0050659,0.001715456,777.0050659,0.001655634,777.0050659,0.001829508,777.0050659,0.001328816,777.0050659,0.001399396,777.0050659,0.001133341
775.9876099,0.0016065,775.9876099,0.002167213,775.9876099,0.001390384,775.9876099,0.001164928,775.9876099,0.00165353,775.9876099,0.001452195,775.9876099,0.001604629,775.9876099,0.001544901,775.9876099,0.001475207,775.9876099,0.001558046,775.9876099,0.001517703,775.9876099,0.00144004,775.9876099,0.001890809,775.9876099,0.001620348,775.9876099,0.002054451,775.9876099,0.002114379,775.9876099,0.001550409,775.9876099,0.001375322,775.9876099,0.001561424
775.0049438,0.001355769,775.0049438,0.002167239,775.0049438,0.001383373,775.0049438,0.001323182,775.0049438,0.001589924,775.0049438,0.001226707,775.0049438,0.00132274,775.0049438,0.001478428,775.0049438,0.001426067,775.0049438,0.001269048,775.0049438,0.001713844,775.0049438,0.001233456,775.0049438,0.001562697,775.0049438,0.001648021,775.0049438,0.001679879,775.0049438,0.001697654,775.0049438,0.001185745,775.0049438,0.001365117,775.0049438,0.001198101
773.9866943,0.001691521,773.9866943,0.001999472,773.9866943,0.001466324,773.9866943,0.001164461,773.9866943,0.001204408,773.9866943,0.00168479,773.9866943,0.001799172,773.9866943,0.001100771,773.9866943,0.001422093,773.9866943,0.001472662,773.9866943,0.001536874,773.9866943,0.001586858,773.9866943,0.001725695,773.9866943,0.001409056,773.9866943,0.001700512,773.9866943,0.00158148,773.9866943,0.001353484,773.9866943,0.001193039,773.9866943,0.001394955
773.0032959,0.001596055,773.0032959,0.001938467,773.0032959,0.001585663,773.0032959,0.000961044,773.0032959,0.001202072,773.0032959,0.001475675,773.0032959,0.001674994,773.0032959,0.001557631,773.0032959,0.001357561,773.0032959,0.001092492,773.0032959,0.001570023,773.0032959,0.00162105,773.0032959,0.001198256,773.0032959,0.001279225,773.0032959,0.001504533,773.0032959,0.001794026,773.0032959,0.001478246,773.0032959,0.001217491,773.0032959,0.00119579
771.984314,0.001467311,771.984314,0.002070057,771.984314,0.001255263,771.984314,0.001425392,771.984314,0.001296023,771.984314,0.001355717,771.984314,0.001477493,771.984314,0.001533731,771.984314,0.00170584,771.984314,0.001187484,771.984314,0.001196933,771.984314,0.001397682,771.984314,0.001340137,771.984314,0.001703631,771.984314,0.001726293,771.984314,0.001879474,771.984314,0.001334555,771.984314,0.001257677,771.984314,0.001218867
771.0001221,0.001730659,771.0001221,0.002152463,771.0001221,0.001951261,771.0001221,0.001110243,771.0001221,0.001394929,771.0001221,0.001446429,771.0001221,0.001533263,771.0001221,0.001770373,771.0001221,0.001813599,771.0001221,0.001745837,771.0001221,0.001644669,771.0001221,0.001731959,771.0001221,0.00170202,771.0001221,0.001707919,771.0001221,0.001938832,771.0001221,0.002073854,771.0001221,0.001534276,771.0001221,0.001120183,771.0001221,0.001764706
770.015564,0.001544356,770.015564,0.002170491,770.015564,0.001336528,770.015564,0.001113461,770.015564,0.001617308,770.015564,0.001355691,770.015564,0.001658337,770.015564,0.001700071,770.015564,0.001431703,770.015564,0.001325207,770.015564,0.001544459,770.015564,0.001450688,770.015564,0.001419237,770.015564,0.001611255,770.015564,0.00173856,770.015564,0.001861197,770.015564,0.001512949,770.015564,0.001500922,770.015564,0.001432768
768.9954834,0.001337696,768.9954834,0.002109151,768.9954834,0.001487077,768.9954834,0.000949707,768.9954834,0.001423106,768.9954834,0.00125451,768.9954834,0.001585299,768.9954834,0.001397292,768.9954834,0.001340527,768.9954834,0.001290623,768.9954834,0.001323208,768.9954834,0.00133767,768.9954834,0.00156836,768.9954834,0.001503546,768.9954834,0.001786826,768.9954834,0.001787813,768.9954834,0.001423002,768.9954834,0.001328427,768.9954834,0.001393137
768.0101318,0.001012233,768.0101318,0.001730919,768.0101318,0.001250797,768.0101318,0.000822088,768.0101318,0.001050012,768.0101318,0.001122519,768.0101318,0.000966881,768.0101318,0.001473727,768.0101318,0.000994823,768.0101318,0.001150497,768.0101318,0.000959617,768.0101318,0.001091221,768.0101318,0.001108167,768.0101318,0.001426846,768.0101318,0.001341617,768.0101318,0.001323,768.0101318,0.000938992,768.0101318,0.000792341,768.0101318,0.000865894
766.9893188,0.001127009,766.9893188,0.001583195,766.9893188,0.001107259,766.9893188,0.000726891,766.9893188,0.00089785,766.9893188,0.001165395,766.9893188,0.000913933,766.9893188,0.001115382,766.9893188,0.001220892,766.9893188,0.001039114,766.9893188,0.001195635,766.9893188,0.001051102,766.9893188,0.001012648,766.9893188,0.001034625,766.9893188,0.00139202,766.9893188,0.001317184,766.9893188,0.000897254,766.9893188,0.000673842,766.9893188,0.000717582
766.0032959,0.00123452,766.0032959,0.001854256,766.0032959,0.001447961,766.0032959,0.000639803,766.0032959,0.00093933,766.0032959,0.000820065,766.0032959,0.000958864,766.0032959,0.001091921,766.0032959,0.000880964,766.0032959,0.000934219,766.0032959,0.001234157,766.0032959,0.001215986,766.0032959,0.00089977,766.0032959,0.001450325,766.0032959,0.001497727,766.0032959,0.001400123,766.0032959,0.000906955,766.0032959,0.000727876,766.0032959,0.000598326
765.0168457,0.00092571,765.0168457,0.00159829,765.0168457,0.00120568,765.0168457,0.000524948,765.0168457,0.000687635,765.0168457,0.001095425,765.0168457,0.001113098,765.0168457,0.000964338,765.0168457,0.001056007,765.0168457,0.001090235,765.0168457,0.001031304,765.0168457,0.001216946,765.0168457,0.000975053,765.0168457,0.001167783,765.0168457,0.001007459,765.0168457,0.001372933,765.0168457,0.00110225,765.0168457,0.000760159,765.0168457,0.000896242
763.994873,0.00114772,763.994873,0.001570283,763.994873,0.001191274,763.994873,0.000558357,763.994873,0.000927604,763.994873,0.001058368,763.994873,0.000851084,763.994873,0.001167679,763.994873,0.001061196,763.994873,0.001085719,763.994873,0.001000298,763.994873,0.000804271,763.994873,0.001157998,763.994873,0.000893311,763.994873,0.001263259,763.994873,0.001365559,763.994873,0.001058472,763.994873,0.001189353,763.994873,0.000937618
763.0076904,0.000757022,763.0076904,0.00120215,763.0076904,0.000959435,763.0076904,0.000556698,763.0076904,0.000485037,763.0076904,0.000810443,763.0076904,0.000704722,763.0076904,0.001022482,763.0076904,0.00082896,763.0076904,0.000873416,763.0076904,0.000858035,763.0076904,0.000913388,763.0076904,0.000773644,763.0076904,0.000562219,763.0076904,0.001204746,763.0076904,0.001424353,763.0076904,0.000873935,763.0076904,0.000607347,763.0076904,0.000605325
761.9849854,0.000728991,761.9849854,0.001261104,761.9849854,0.000803104,761.9849854,0.000418752,761.9849854,0.000644158,761.9849854,0.000724298,761.9849854,0.0004258,761.9849854,0.00052868,761.9849854,0.000666713,761.9849854,0.000681568,761.9849854,0.000575671,761.9849854,0.00074875,761.9849854,0.000701014,761.9849854,0.000418778,761.9849854,0.001007978,761.9849854,0.001022482,761.9849854,0.000840632,761.9849854,0.000353176,761.9849854,0.00043518
760.9970703,0.000658157,760.9970703,0.001097916,760.9970703,0.000796854,760.9970703,0.000365767,760.9970703,0.001105961,760.9970703,0.000848957,760.9970703,0.000505174,760.9970703,0.000786869,760.9970703,0.000475734,760.9970703,0.000747868,760.9970703,0.000578756,760.9970703,0.000635266,760.9970703,0.000872119,760.9970703,0.000544075,760.9970703,0.00086675,760.9970703,0.001070279,760.9970703,0.000751524,760.9970703,0.000634877,760.9970703,-6.80E-05
760.0088501,0.000622771,760.0088501,0.000858839,760.0088501,0.000392946,760.0088501,-5.12E-05,760.0088501,0.000501105,760.0088501,0.000613827,760.0088501,0.000334498,760.0088501,0.000786688,760.0088501,0.000559886,760.0088501,0.000452075,760.0088501,0.000659454,760.0088501,0.000406937,760.0088501,0.000660828,760.0088501,0.000182016,760.0088501,0.000815111,760.0088501,0.000702207,760.0088501,0.000503204,760.0088501,0.000193385,760.0088501,0.000139185
758.9849243,0.000343746,758.9849243,0.000904932,758.9849243,0.000235186,758.9849243,-0.000243363,758.9849243,9.84E-07,758.9849243,0.000270567,758.9849243,0.000217833,758.9849243,0.000380794,758.9849243,0.000149724,758.9849243,6.53E-05,758.9849243,0.000294268,758.9849243,-0.00017542,758.9849243,0.0002744,758.9849243,0.000235756,758.9849243,0.000503515,758.9849243,0.000609784,758.9849243,0.000430593,758.9849243,0.000160005,758.9849243,-0.000125632
757.9959717,0.000147161,757.9959717,0.000923531,757.9959717,5.41E-05,757.9959717,-0.000155599,757.9959717,0.000131857,757.9959717,0.000234538,757.9959717,0.00013178,757.9959717,9.76E-05,757.9959717,-9.14E-05,757.9959717,0.000259222,757.9959717,-3.20E-05,757.9959717,-2.07E-05,757.9959717,0.000148119,757.9959717,0.00020377,757.9959717,0.000207111,757.9959717,0.000716856,757.9959717,0.000287792,757.9959717,-0.000263646,757.9959717,-0.000135259
757.0067139,-3.85E-05,757.0067139,0.000364679,757.0067139,-0.000170245,757.0067139,-0.00039934,757.0067139,-0.000182251,757.0067139,0.000103297,757.0067139,-0.000682904,757.0067139,3.77E-05,757.0067139,-0.000415633,757.0067139,-0.00023229,757.0067139,5.30E-05,757.0067139,3.36E-05,757.0067139,-4.15E-05,757.0067139,-0.000519221,757.0067139,6.10E-05,757.0067139,0.000244769,757.0067139,0.000112489,757.0067139,-5.90E-05,757.0067139,-0.000225046
756.0170898,-0.000214024,756.0170898,0.000374913,756.0170898,-7.50E-05,756.0170898,-0.001080326,756.0170898,-0.000225822,756.0170898,-0.000177904,756.0170898,-9.76E-05,756.0170898,-0.000246054,756.0170898,-0.000197258,756.0170898,-0.000304364,756.0170898,-0.000170866,756.0170898,-0.000351338,756.0170898,-0.000198707,756.0170898,-0.000423081,756.0170898,1.41E-05,756.0170898,3.79E-05,756.0170898,-0.000124131,756.0170898,-0.00055614,756.0170898,-0.000618131
754.9916382,-0.000598899,754.9916382,7.23E-05,754.9916382,-0.000439115,754.9916382,-0.000978784,754.9916382,-0.000366442,754.9916382,-0.000181837,754.9916382,-0.000538146,754.9916382,-0.000395668,754.9916382,-0.000558829,754.9916382,-0.000707095,754.9916382,-0.00037146,754.9916382,-0.000176662,754.9916382,-9.55E-05,754.9916382,-0.000444028,754.9916382,0.000109486,754.9916382,0.000187144,754.9916382,0.000150449,754.9916382,-0.000863577,754.9916382,-0.000535716
754.0012817,-0.000720068,754.0012817,-0.000223235,754.0012817,-0.000605516,754.0012817,-0.000815987,754.0012817,-0.000845802,754.0012817,-0.000871224,754.0012817,-0.000782397,754.0012817,-0.000545489,754.0012817,-0.000950941,754.0012817,-0.000564775,754.0012817,-0.000695206,754.0012817,-0.000667914,754.0012817,-0.000679182,754.0012817,-0.000724358,754.0012817,-0.000219458,754.0012817,-0.000282738,754.0012817,0.000268935,754.0012817,-0.000925679,754.0012817,-0.000806685
753.010498,-0.000972017,753.010498,-0.000283773,753.010498,-0.000765084,753.010498,-0.001280708,753.010498,-0.000976201,753.010498,-0.000766015,753.010498,-0.000948513,753.010498,-0.000836243,753.010498,-0.00071247,753.010498,-0.000904445,753.010498,-0.000724927,753.010498,-0.000847456,753.010498,-0.000677787,753.010498,-0.001081721,753.010498,-0.000484057,753.010498,-0.000464043,753.010498,-0.000269389,753.010498,-0.001271984,753.010498,-0.001335834
