"","abundance","exp_mass","formula","R_mass","recal_err"
"522",2280967.5,421.041599,"C18H14O12",421.041204292285,0.107281067050392
"523",4285962.5,421.078099,"C19H18O11",421.077704258068,0.164555708108183
"524",6503949.5,421.114452,"C20H22O10",421.114057223989,0.08727173004816
"525",10600977,421.150827,"C21H26O9",421.150432189889,0.062238926329377
"526",6445075.5,421.187246,"C22H30O8",421.186851155748,0.141677063770528
"527",3402673,423.057335,"C18H16O12",423.056938402623,0.0918949270586373
"528",5202100,423.093675,"C19H20O11",423.093278368556,0.0157473173128839
"529",9605815,423.130045,"C20H24O10",423.12964833446,0.0524708642542038
"530",8926906,423.166506,"C21H28O9",423.16610930028,0.125857306445041
"531",2547133.5,423.202918,"C22H32O8",423.202521266145,0.188371090395085
"532",3561309.3,425.072978,"C18H18O12",425.072579513048,0.0703960008610286
"533",5960544.5,425.10932,"C19H22O11",425.108921478979,0.0320293466587468
"534",8885092,425.145764,"C20H26O10",425.145365444814,0.105480577392265
"535",4320614.5,425.182113,"C21H30O9",425.181714410738,0.0195332917710398
"536",2165850,378.127877,"C19H22O8",378.127522521985,0.0626932762654239
"537",1837148.3,378.164357,"C20H26O7",378.164002487787,0.187099934561911
"538",1862491.1,380.107158,"C18H20O9",380.106801666498,0.023993367254482
"539",2757981.5,380.143564,"C19H24O8",380.143207632369,0.0298322547108259
"540",2501087.8,382.122816,"C18H22O9",382.122457776908,0.00804305470252415
"541",2202338.3,382.159166,"C19H26O8",382.158807742832,0.101038635244335
"542",2048997.3,384.138505,"C18H24O9",384.13814488729,0.088439935358247
"543",1832323,392.143611,"C20H24O8",392.14324338286,0.120086285816863
"544",2060172.1,394.122854,"C19H22O9",394.122484527408,0.06007540874047
"545",2516238.8,394.15918,"C20H26O8",394.158810493354,0.0909843491495341
"546",2813081.3,396.13842,"C19H24O9",396.138048637905,0.157208391602109
"547",1764763.9,396.174864,"C20H28O8",396.17449260374,0.00963136169625389
"548",1733285.5,398.117643,"C18H22O10",398.117269782471,0.265474895219812
"549",1884712.1,398.154176,"C19H26O9",398.153802748223,0.1049099307043
"550",2191216.5,406.159288,"C21H26O8",406.158907243788,0.149912155241354
"551",2528005.8,408.138513,"C20H24O9",408.138130388353,0.0477147622656043
"552",1915912.5,408.174835,"C21H28O8",408.174452354303,0.107956615902176
"553",1846172.9,410.117772,"C19H22O10",410.117387532886,0.029406815324591
"554",2610847.8,410.154139,"C20H26O9",410.153754498793,0.0157968721417652
"555",1841849,412.133396,"C19H24O10",412.133009643328,0.0385630625716895
"556",1843772.5,420.138565,"C21H24O9",420.13817113884,0.143345004999659
"557",2604388.8,422.154155,"C21H26O9",422.153759249314,0.00409477853648118
"558",2045964.6,424.133539,"C20H24O10",424.13314139373,0.273162622732296
"559",2055823.8,424.169858,"C21H28O9",424.169460359682,0.116269445518766
"560",1945658.4,426.14909,"C20H26O10",426.14869050424,0.0349737107633319
"561",2183690.5,427.067566,"C21H16O10",427.0671012268,0.0724606552047094
"562",2869004.3,427.088666,"C18H20O12",427.088201203837,0.00363015602912638
