"","abundance","exp_mass","theor_mass","recal_err","orig_err"
"89",363.072684,"C17H16O9",363.07215565894,0.0862031779280593,1.45519575583265
"90",322.044423,"C18H10O6",322.04381660064,0.513978434502241,1.88297159803243
"91",324.023489,"C17H8O7",324.02308115914,0.110313888418262,1.25867842039197
"92",324.059843,"C18H12O6",324.05946666444,0.207675816249693,1.16131635928913
"93",326.039303,"C17H10O7",326.03873122294,0.384716021928771,1.75370900839489
"94",326.075698,"C18H14O6",326.07511672824,0.413638429470667,1.78263145564781
"95",328.054839,"C17H12O7",328.05438128674,0.0262434350076742,1.39523593073033
"96",330.049466,"C20H10O5",330.04890197834,0.339910381595348,1.70890330684501
"97",332.065088,"C20H12O5",332.06455204214,0.245024288702969,1.61401708402478
"98",334.044341,"C19H10O6",334.04381660064,0.200859284248375,1.56985201910671
"99",336.023587,"C18H8O7",336.02308115914,0.136382693341696,1.50537533985992
"100",336.059913,"C19H12O6",336.05946666444,0.0408478215667232,1.32814458239736
"101",338.039159,"C18H10O7",338.03873122294,0.103524723740671,1.26546759434748
"102",338.075619,"C19H14O6",338.07511672824,0.116688328687804,1.48568094828602
"103",340.018456,"C17H8O8",340.01799578144,0.0154800783516868,1.35351236032168
"104",340.054931,"C18H12O7",340.05438128674,0.247552348871063,1.61654514763136
"105",342.034108,"C17H10O8",342.03364584524,0.0177956582789321,1.35119677727816
"106",342.07074,"C18H14O7",342.07003135054,0.702656810800342,2.07165023262979
"107",344.049771,"C17H12O8",344.04929590904,0.0118880130866337,1.38088048918173
"108",344.065188,"C21H12O5",344.06455204214,0.479374744676547,1.84836786077545
"109",346.080722,"C21H14O5",346.08020210594,0.133243130938641,1.50223577321581
"110",348.023682,"C19H8O7",348.02308115914,0.357446739785117,1.72643968896274
"111",348.059946,"C20H12O6",348.05946666444,0.00817323189312368,1.37716570285449
"112",350.039221,"C19H10O7",350.03873122294,0.030215690170584,1.39920819133305
"113",350.075728,"C20H14O6",350.07511672824,0.377123016734009,1.74611599286064
"114",352.018516,"C18H8O8",352.01799578144,0.108825474930075,1.47781808378677
"115",352.055009,"C19H12O7",352.05438128674,0.414007820290246,1.78300084685554
"116",354.034056,"C18H10O8",354.03364584524,0.210473017314462,1.15851915437348
"117",354.070558,"C19H14O7",354.07003135054,0.118423463608546,1.48741608550989
"118",356.049739,"C18H12O8",356.04929590904,0.124527084358185,1.24446520494681
"119",356.065298,"C22H12O5",356.06455204214,0.726013914331472,2.09500736806006
"120",358.04443,"C21H10O6",358.04381660064,0.344203419574257,1.71319635062286
"121",358.065508,"C18H14O8",358.06494597284,0.200630783034936,1.5696235175663
"122",358.080739,"C22H14O5",358.08020210594,0.130375539172347,1.49936817746874
"123",360.060096,"C21H12O6",360.05946666444,0.378872633322322,1.74786561185726
"124",362.039334,"C20H10O7",362.03873122294,0.295958997885661,1.66495186295054
"125",362.075578,"C21H14O6",362.07511672824,0.095025302715322,1.2739670269823
"126",363.087955,"C21H16O6",363.08741179204,0.0666878536825178,1.49608039923969
"127",364.994421,"C18H6O9",364.99390533994,0.0166015482820779,1.41279087815319
"128",365.030798,"C19H10O8",365.03029084524,0.0400425973313131,1.38934979563621
"129",365.067185,"C20H14O7",365.06667635054,0.0360867561753019,1.3933056424136
"130",365.103495,"C21H18O6",365.10306185584,0.243030756459324,1.18636134633122
"131",367.010032,"C18H8O9",367.00955540374,0.130798662659519,1.29859360058381
"132",367.046467,"C19H12O8",367.04594090904,0.00391847723942755,1.43331093301153
"133",367.082742,"C20H16O7",367.08232641434,0.297259993623117,1.13213203167014
"134",367.11923,"C21H20O6",367.11871191964,0.0181857949196539,1.411206629285
"135",368.989325,"C17H6O10",368.98881996224,0.0606848776329095,1.36870748573684
"136",369.041059,"C22H10O6",369.04046160064,0.189398230650661,1.61879095157368
"137",369.062039,"C19H14O8",369.06159097284,0.215429023399694,1.21396311883253
"138",369.07724,"C23H14O5",369.07684710594,0.364860075401601,1.06453185325101
"139",369.098496,"C20H18O7",369.09797647814,0.0218478288317005,1.40754459019033
"140",369.113766,"C24H18O4",369.11323261124,0.0156620875295799,1.44505456017153
"141",371.020253,"C21H8O7",371.01972615914,0.00941171085937693,1.41998072586418
"142",371.056586,"C22H12O6",371.05611166444,0.1510530690874,1.2783391651256
"143",371.077772,"C19H16O8",371.07724103664,0.00147773124100584,1.43087018358511
"144",371.092993,"C23H16O5",371.09249716974,0.0932557369506668,1.33613657985682
"145",371.114086,"C20H20O7",371.11362654194,0.191339927599668,1.23805224904855
"146",373.035861,"C21H10O7",373.03537622294,0.129845114520779,1.29954715001043
