"","exp_mass","abundance","RT"
"237",389.117944570494,856861.3,15.93
"238",390.001587025317,935936.9,16.78
"239",390.025229983973,870723.6,15.5
"240",390.03801896161,2082629,39.21
"241",390.0616999202,1098119.6,19.95
"242",390.0745098978,1087625.1,19.75
"243",390.088997872466,720010.8,12.56
"244",390.098121856511,755467.8,13.25
"245",390.973127326437,1035630.5,18.73
"246",391.060983172808,1417912.4,26.21
"247",391.097296109309,1590972.5,29.59
"248",392.017335500486,1183524.1,21.62
"249",392.041036459042,1168486.9,21.33
"250",392.05376743678,1363112.3,25.13
"251",392.068533410959,989481.9,17.82
"252",392.077312395608,1150123,20.97
"253",393.040329711632,1577367.5,29.32
"254",393.076683648061,2463003.5,46.65
"255",393.113064584444,1239199.6,22.71
"256",394.033079975663,1208775.3,22.11
"257",394.047952949655,913096.9,16.32
"258",394.056816934155,1143882,20.84
"259",394.080272893139,811404.6,14.33
"260",394.084327886048,1047053.1,18.94
"261",394.093049870797,713294,12.41
"262",396.012265514768,826213.9,14.62
"263",396.036064473152,878952.6,15.65
"264",396.048610451214,866666,15.41
"265",396.063659424898,1401579.8,25.88
"266",396.072480409474,806252.7,14.23
"267",397.086641636065,804958.6,14.2
"268",398.043042963657,1851081.9,34.67
"269",398.051674948563,891914.9,15.9
"270",398.066706922278,951052.6,17.06
"271",398.079414900056,1027086,18.55
"272",399.056388191675,746747.4,13.06
"273",399.102329111341,995136.6,17.92
"274",400.02252150225,1093031.5,19.83
"275",400.045903461364,903978.1,16.13
"276",400.058742438913,1881259.5,35.25
"277",400.06723642406,738028.4,12.89
"278",400.082559397265,728174.2,12.69
"279",400.095036375448,718287.6,12.5
"280",400.993782803858,1041939.9,18.83
"281",401.081705650112,1072797.6,19.43
"282",401.11794058675,740321.8,12.93
"283",402.001595041552,739204.2,12.9
"284",402.038017977861,1885704.3,35.34
"285",402.061793936285,1010634.9,18.21
"286",402.07431491439,1241228.3,22.73
"287",402.089122888496,795277.9,14
"288",402.09810487279,737422.9,12.87
"289",403.060839189309,932025.9,16.67
"290",403.097366125436,1476094,27.32
"291",404.017086435802,1354852,24.95
"292",404.041032389776,1049958.6,18.98
"293",404.053472365865,1256424,23.02
"294",404.077304320057,883626.7,15.73
"295",404.988665568323,2039503.5,36.78
"296",405.040200469268,864021.3,14.71
"297",405.076578399345,1877209.3,33.73
"298",405.112950329434,1153373.3,20.15
"299",406.02027458546,861377.3,14.66
"300",406.032852561284,1346882.8,23.78
"301",406.047646532848,721796.4,12.04
"302",406.056648515545,901445.4,15.42
"303",406.069432490973,884742.8,15.1
"304",406.093120445442,761225.4,12.78
"305",407.019277665269,727151.3,12.14
"306",407.055937594804,2309427.3,41.84
"307",407.092460524603,2095543.3,37.82
"308",407.128565455206,799483.3,13.5
"309",408.012294756583,1017372.2,17.59
"310",408.035986711045,1086558.8,18.89
"311",408.048552686892,1070112.1,18.58
"312",408.063539658085,1175585.9,20.56
"313",408.07217864148,1113506.8,19.39
"314",408.085063616714,762084.2,12.8
"315",409.113499639949,753300.6,12.63
"316",410.042825853685,1166457.9,20.38
"317",410.051540836933,1031482.8,17.85
"318",410.066798807606,850748.4,14.46
