"","exp_mass","abundance","RT"
"2285",776.099629279159,1065549.6,8.81
"2286",776.122719228531,857111.9,6.79
"2287",776.135746199967,809822.1,6.33
"2288",777.020336260364,1114877.6,9.29
"2289",777.040543216057,1290119.4,10.99
"2290",777.053903186763,2025101.5,18.11
"2291",777.076994136133,1683224.6,14.8
"2292",777.089714108242,1985566.1,17.73
"2293",777.112610058039,1695273.1,14.91
"2294",777.124256032503,1580590.6,13.8
"2295",777.148507979327,1519162.4,13.21
"2296",778.063093973953,971274.4,7.89
"2297",778.078912939268,927090.1,7.46
"2298",778.091902910785,743736.3,5.68
"2299",778.113603863202,756738.1,5.81
"2300",778.13929980686,778766.6,6.02
"2301",778.151702779664,723924.2,5.49
"2302",778.997867924314,756583.1,5.8
"2303",779.034354844311,1621816.6,14.19
"2304",779.057417793741,1356739.1,11.62
"2305",779.069608767011,2039497.5,18.24
"2306",779.092589716621,1533652,13.34
"2307",779.105274688808,2093530.4,18.77
"2308",779.128699637445,1446117.6,12.49
"2309",779.139803613098,1196650.5,10.07
"2310",779.17657053248,779900.1,6.03
"2311",780.059272597017,879139.1,6.99
"2312",780.080456550568,934316.9,7.52
"2313",780.09563351729,1098932,9.12
"2314",780.108614488827,965818.4,7.83
"2315",781.014133503334,1395183,11.99
"2316",781.0498134251,2232704.3,20.11
"2317",781.072950374368,1572619.6,13.71
"2318",781.08525434739,2320273.3,20.96
"2319",781.108352296744,1644700.8,14.41
"2320",781.121113268764,1714850.5,15.09
"2321",781.145319215688,1057710,8.71
"2322",781.179935139787,728319.1,5.52
"2323",782.040760252293,785248.8,6.07
"2324",782.066226196455,1012781.1,8.27
"2325",782.109190102249,971522.1,7.87
"2326",782.134753046199,749134.3,5.72
"2327",783.030257082665,1680707.6,14.75
"2328",783.065959004383,2335317.3,21.09
"2329",783.088080955877,1484128.1,12.84
"2330",783.101150927219,2250854,20.27
"2331",783.124714875551,1210481.6,10.19
"2332",783.137184848209,1329784.1,11.34
"2333",783.149449821316,837630,6.57
"2334",783.173969767552,935945.6,7.52
"2335",784.053171839763,842906.3,6.62
"2336",784.089942759137,1216588,10.24
"2337",784.102596731391,989266.6,8.04
"2338",784.114567705143,910296.5,7.27
"2339",784.138374652942,871524.3,6.89
"2340",785.04503766494,1965604.6,17.5
"2341",785.081073585926,2211382.5,19.88
"2342",785.116495508258,1687112.3,14.8
"2343",785.152833428581,1236058,10.42
"2344",786.060546438277,771165.8,5.91
"2345",786.082516390105,743849.1,5.65
"2346",786.10440534211,820467.6,6.39
"2347",786.118546311104,1031995.1,8.44
"2348",787.03822629456,1377672.1,11.79
"2349",787.061493243544,1766035.5,15.55
"2350",787.073297217662,1625497.5,14.19
"2351",787.097374164869,1941797.6,17.26
"2352",787.109372138562,1481259.6,12.79
"2353",787.132202088503,1451959,12.51
"2354",787.168916008002,968649.9,7.82
"2355",788.084301000876,903703.6,7.19
"2356",788.100234965939,776607.2,5.96
"2357",788.135107889474,885937.5,7.02
"2358",788.147953861307,718199.6,5.39
"2359",789.018516952461,1092785.6,9.02
"2360",789.053545875654,1500547.4,12.97
"2361",789.076304825751,1804302.9,15.91
"2362",789.088701798569,1599765.8,13.93
"2363",789.112405746595,1631265.4,14.24
"2364",789.124874719254,1173544.3,9.8
"2365",789.147808668968,1111219.9,9.19
"2366",789.185712585858,812871.1,6.3
"2367",790.066786653964,1009929.2,8.21
"2368",790.104102572143,871708.6,6.87
"2369",791.034218532717,1588730.8,13.81
"2370",791.056963482845,1649670.6,14.41
"2371",791.069777454748,2289421.5,20.61
"2372",791.092326405306,1548825.4,13.43
"2373",791.105188377104,1824031.6,16.1
"2374",791.128114326836,1557291.4,13.51
"2375",792.047645310619,884807.8,6.98
"2376",792.082010235268,932762,7.45
"2377",792.115376162108,792203.4,6.09
"2378",793.014265191152,1234176.1,10.37
"2379",793.037230140798,751756.1,5.69
"2380",793.050030112732,2050066.5,18.28
