"","abundance","exp_mass","formula","R_mass","recal_err"
"67",976179.1,329.140137,"C19H22O5",329.139451842141,0.0136142926468754
"68",1058490.5,331.010178,"C15H8O9",331.009488949351,0.200762750505618
"69",1297340.8,331.031429,"C12H12O11",331.030739905114,0.166537956734051
"70",4252030.5,331.046556,"C16H12O8",331.045866873625,0.223640909666574
"71",4134272.8,331.067783,"C13H16O10",331.067093829437,0.0711281772244595
"72",3785604.5,331.104042,"C14H20O9",331.103352753958,0.31117942112916
"73",3118470.3,331.119439,"C18H20O6",331.118749721907,0.11416529958699
"74",1031176.6,331.140413,"C15H24O8",331.139723678246,0.355178021810272
"75",1456138.3,331.155735,"C19H24O5",331.155045646351,0.156357517540425
"76",3118935,333.025804,"C15H10O9",333.025110753503,0.284405009657171
"77",7419739,333.062236,"C16H14O8",333.061542677664,0.14500373859266
"78",6931807,333.098685,"C17H18O7",333.09799160179,0.0454030069644284
"79",5570403,333.135025,"C18H22O6",333.134331526142,0.0914264670902326
"80",1306855.1,333.171338,"C19H26O5",333.170644450551,0.309265413950373
"81",7324729.5,335.041573,"C15H12O9",335.040875557358,0.0597718673696144
"82",10928701,335.077863,"C16H16O8",335.077165481814,0.225484803678111
"83",13169218,335.114313,"C17H20O7",335.113615405938,0.0332305271232395
"84",6381125.5,335.150719,"C18H24O6",335.150021330153,0.027697783962773
"85",3804701,337.020759,"C14H10O10",337.020057437365,0.185901289365476
"86",12051233,337.057159,"C15H14O9",337.056457361593,0.143102258534143
"87",17238822,337.093618,"C16H18O8",337.092916285697,0.0747131076790785
"88",19055402,337.129945,"C17H22O7",337.129243210077,0.0990589227482171
"89",4091950,337.16634,"C18H26O6",337.165638134315,0.0711125943154602
"90",7683082.5,339.036433,"C14H12O10",339.035727241417,0.126571372619989
"91",17065998,339.072873,"C15H16O9",339.072167165562,0.0339356132761182
"92",26928148,339.109238,"C16H20O8",339.108532089862,0.026759508990631
"93",1849336.8,341.015792,"C13H10O11",341.015082121065,0.139022975245408
"94",1161338.6,341.031083,"C17H10O8",341.030373089234,0.241163310984321
"95",13175037,341.052068,"C14H14O10",341.05135804555,0.182294767958366
"96",22594818,341.08851,"C15H18O9",341.087799969691,0.0168667694434835
"97",18361606,341.124929,"C16H22O8",341.124218893879,0.0811019544406378
"98",3958512.5,343.031368,"C13H12O11",343.030653925321,0.0899354506598333
"99",2673394.5,343.046666,"C17H12O8",343.045951893476,0.0320203048890718
"100",11451893,343.067868,"C14H16O10",343.06715384934,0.24359114422142
"101",2513911,343.083019,"C18H16O7",343.082304817801,0.0629485618870474
"102",14823930,343.10416,"C15H20O9",343.103445773793,0.0291828812178401
"103",5372414,343.140493,"C16H24O8",343.13977869816,0.18241449351608
"104",2595307,345.025952,"C16H10O9",345.025233773275,0.0820396152259769
"105",3553773.5,345.047051,"C13H14O11",345.046332729354,0.00611623908271805
"106",4920047.5,345.062257,"C17H14O8",345.0615386977,0.151495098281087
"107",5709554,345.083471,"C14H18O10",345.08275265354,0.0936253776432325
"108",4073718.8,345.11977,"C15H22O9",345.119051577978,0.157256903985978
"109",3297528.8,345.135103,"C19H22O6",345.13438454606,0.0653734379289681
"110",5989357,347.041632,"C16H12O9",347.040909577315,0.155733752349014
"111",1437167.6,347.062627,"C13H16O11",347.06190453361,0.231572264529526
"112",7808497.5,347.077984,"C17H16O8",347.077261501642,0.0589638262544863
"113",1179700.3,347.099151,"C14H20O10",347.09842845758,0.167240023645912
"114",8221174.5,347.114291,"C18H20O7",347.113568426063,0.167426088329213
"115",4833787,347.150799,"C19H24O6",347.150076350066,0.185230660565896
"116",3242990.8,349.0209,"C15H10O10",349.020173457152,0.15290611775029
"117",10281204,349.057253,"C16H14O9",349.056526381477,0.0595500633412126
"118",12273912,349.093587,"C17H18O8",349.092860305842,0.0882131913163618
"119",13098237,349.130059,"C18H22O7",349.12933222992,0.159322587301876
"120",4877570,349.166364,"C19H26O6",349.165637154345,0.0714752270342012
"121",7874042,351.036515,"C15H12O10",351.035784261326,0.0401887433344724
"122",13661695,351.072902,"C16H16O9",351.072171185581,0.0442263530638075
"123",21588484,351.109231,"C17H20O8",351.108500109956,0.116927612772893
"124",14822921,351.145721,"C18H24O7",351.144990033997,0.18045101009543
"125",2152205.8,351.182009,"C19H28O6",351.181277958457,0.0974322419425017
"126",2224389.3,353.015845,"C14H10O11",353.015110141034,0.213670486975817
"127",12841738,353.052162,"C15H14O10",353.051427065435,0.0193965931771631
"128",1497064.4,312.117474,"C15H20O7",312.116824277538,0.50386365288238
"129",1180754.6,314.096764,"C14H18O8",314.096110157329,0.432807182391975
"130",1132331.4,322.065517,"C15H14O8",322.064846569094,0.308645032471145
"131",1608558.9,322.101917,"C16H18O7",322.101246493322,0.263844976088518
"132",978930.4,322.138302,"C17H22O6",322.137631417581,0.265618879122399
"133",1949743.5,324.081182,"C15H16O8",324.080507373165,0.273584645115075
"134",3099827.3,324.117554,"C16H20O7",324.116879297451,0.315455514236281
"135",1715573.3,326.06048,"C14H14O9",326.05980125294,0.181997870904743
"136",3847801,326.096827,"C15H18O8",326.096148177278,0.300289143551734
"137",2695804.5,326.13331,"C16H22O7",326.132631101332,0.00154663362508687
"138",2666563.8,328.07609,"C14H16O9",328.075407057125,0.315786493495089
"139",3627079.5,328.112544,"C15H20O8",328.11186098124,0.107228663078536
